,TRAIN_MSE,DEV_MSE,TEST_MSE,TRAIN_MAE,DEV_MAE,TEST_MAE
0,13506.107421875,3994.39990234375,3700.48193359375,109.5624771118164,58.0191879272461,50.88761520385742
1,13418.279296875,3962.325439453125,3672.63916015625,109.14359283447266,57.74126434326172,50.56592559814453
2,13391.7470703125,3954.08154296875,3665.55029296875,109.0055160522461,57.66850662231445,50.470703125
3,13383.4296875,3951.33984375,3662.813232421875,108.9591064453125,57.64472198486328,50.434165954589844
4,13379.1982421875,3950.176513671875,3661.719482421875,108.9367904663086,57.63421630859375,50.41781616210938
5,13377.0283203125,3949.47900390625,3661.14453125,108.9254379272461,57.627784729003906,50.40908813476562
6,13375.771484375,3948.98583984375,3660.74609375,108.9184341430664,57.623268127441406,50.40316009521485
7,13375.0546875,3948.67236328125,3660.494140625,108.91446685791016,57.620399475097656,50.399497985839844
8,13374.416015625,3948.421875,3660.315673828125,108.91119384765624,57.61810302734375,50.39692306518555
9,13374.103515625,3948.239013671875,3660.194091796875,108.90931701660156,57.616416931152344,50.39508056640625
10,13373.822265625,3948.079345703125,3660.09033203125,108.9077377319336,57.61495971679688,50.3935661315918
11,13373.5361328125,3947.909423828125,3659.990966796875,108.9062042236328,57.61341094970703,50.39215469360352
12,13373.3203125,3947.768798828125,3659.916015625,108.90516662597656,57.61211013793945,50.3911361694336
13,13373.1328125,3947.63671875,3659.850830078125,108.904052734375,57.61088943481445,50.39019012451172
14,13373.015625,3947.54931640625,3659.800048828125,108.90340423583984,57.61009979248047,50.38946533203125
15,13372.9345703125,3947.487548828125,3659.76123046875,108.90293884277344,57.60953903198242,50.38890838623047
16,13372.859375,3947.438232421875,3659.73095703125,108.9024887084961,57.609092712402344,50.38846206665039
17,13372.802734375,3947.39599609375,3659.70458984375,108.90211486816406,57.60871124267578,50.3880615234375
18,13372.7529296875,3947.362060546875,3659.68212890625,108.90177917480469,57.60839080810547,50.3877182006836
19,13372.716796875,3947.334716796875,3659.66357421875,108.9015884399414,57.6081428527832,50.38745498657226
20,13372.6767578125,3947.30419921875,3659.64404296875,108.90130615234376,57.60786056518555,50.38715362548828
21,13372.6435546875,3947.28125,3659.62841796875,108.90110778808594,57.60764694213867,50.38691329956055
22,13372.611328125,3947.26025390625,3659.61376953125,108.9009017944336,57.60745239257813,50.386695861816406
23,13372.583984375,3947.239501953125,3659.60009765625,108.90074157714844,57.60725784301758,50.38648986816406
24,13372.5546875,3947.223388671875,3659.58740234375,108.90055084228516,57.60710906982422,50.38630294799805
25,13372.53125,3947.206298828125,3659.57568359375,108.9004135131836,57.60695266723633,50.38613510131836
26,13372.509765625,3947.19140625,3659.565185546875,108.90028381347656,57.60681915283203,50.3859748840332
27,13372.490234375,3947.17822265625,3659.555419921875,108.90018463134766,57.606689453125,50.38583374023438
28,13372.4716796875,3947.164794921875,3659.546142578125,108.90007019042969,57.6065673828125,50.385704040527344
29,13372.4560546875,3947.153564453125,3659.53759765625,108.9000015258789,57.60646438598633,50.38558959960938
30,13372.4404296875,3947.14306640625,3659.530029296875,108.8999252319336,57.60636520385742,50.3854866027832
31,13372.427734375,3947.13232421875,3659.522705078125,108.8998565673828,57.60626983642578,50.38538360595703
32,13372.416015625,3947.12353515625,3659.516357421875,108.8997802734375,57.6061897277832,50.38529586791992
33,13372.4033203125,3947.114013671875,3659.509765625,108.8997039794922,57.60609817504883,50.38521194458008
34,13372.390625,3947.10546875,3659.50390625,108.899658203125,57.60601806640625,50.3851318359375
35,13372.380859375,3947.09814453125,3659.498779296875,108.8996124267578,57.60595703125,50.38506317138672
36,13372.3701171875,3947.090576171875,3659.49365234375,108.8995590209961,57.60588455200195,50.3849983215332
37,13372.361328125,3947.08349609375,3659.48876953125,108.8995132446289,57.6058235168457,50.38493347167969
38,13372.353515625,3947.07666015625,3659.48388671875,108.8994598388672,57.60575485229492,50.3848762512207
39,13372.345703125,3947.0703125,3659.47998046875,108.8994369506836,57.6057014465332,50.38481903076172
40,13372.337890625,3947.06494140625,3659.475830078125,108.8993911743164,57.60564422607422,50.38477325439453
41,13372.328125,3947.05859375,3659.471923828125,108.89935302734376,57.60558319091797,50.38471984863281
42,13372.322265625,3947.052734375,3659.468017578125,108.89933013916016,57.60553741455078,50.38467407226562
43,13372.3154296875,3947.047607421875,3659.46435546875,108.8992919921875,57.6054916381836,50.3846321105957
44,13372.3076171875,3947.04248046875,3659.46142578125,108.8992691040039,57.605445861816406,50.38459014892578
45,13372.3017578125,3947.03759765625,3659.458251953125,108.89923095703124,57.60539627075195,50.38454818725586
46,13372.296875,3947.033203125,3659.45458984375,108.89920806884766,57.6053581237793,50.38451385498047
47,13372.291015625,3947.02880859375,3659.45166015625,108.899169921875,57.60531616210938,50.38447952270508
48,13372.2841796875,3947.024169921875,3659.448486328125,108.8991470336914,57.60527420043945,50.38444519042969
49,13372.2783203125,3947.02001953125,3659.4453125,108.8991241455078,57.6052360534668,50.38440704345703
50,13372.2734375,3947.01513671875,3659.442138671875,108.89909362792969,57.605201721191406,50.38437271118164
51,13372.267578125,3947.010986328125,3659.43896484375,108.8990707397461,57.60515594482422,50.38434219360352
52,13372.2607421875,3947.007080078125,3659.43603515625,108.89903259277344,57.60512161254883,50.38430786132813
53,13372.2529296875,3947.003173828125,3659.432861328125,108.89900970458984,57.60508346557617,50.38427734375
54,13372.2470703125,3946.99951171875,3659.430419921875,108.89898681640624,57.60505294799805,50.38425064086914
55,13372.2392578125,3946.99609375,3659.42822265625,108.89896392822266,57.60502243041992,50.38422393798828
56,13372.234375,3946.99365234375,3659.42626953125,108.89894104003906,57.60499954223633,50.38420486450195
57,13372.2294921875,3946.991455078125,3659.424560546875,108.89891052246094,57.60498046875,50.38418579101562
58,13372.2265625,3946.989013671875,3659.423095703125,108.8989028930664,57.604957580566406,50.3841667175293
59,13372.2216796875,3946.98681640625,3659.421875,108.8988800048828,57.604942321777344,50.38415145874024
60,13372.216796875,3946.985107421875,3659.420654296875,108.89886474609376,57.60491943359375,50.384132385253906
61,13372.212890625,3946.983154296875,3659.419189453125,108.89884948730469,57.60490036010742,50.38411712646485
62,13372.2109375,3946.981201171875,3659.41796875,108.8988265991211,57.604881286621094,50.38410568237305
63,13372.2080078125,3946.979736328125,3659.416748046875,108.89881896972656,57.6048698425293,50.38409423828125
64,13372.205078125,3946.97802734375,3659.41552734375,108.8988037109375,57.60485076904297,50.38407897949219
65,13372.201171875,3946.975830078125,3659.41455078125,108.89878845214844,57.60483932495117,50.38406753540039
66,13372.1982421875,3946.97509765625,3659.41357421875,108.8987808227539,57.60482025146485,50.384056091308594
67,13372.1953125,3946.97314453125,3659.41259765625,108.89875793457031,57.60480880737305,50.3840446472168
68,13372.193359375,3946.971923828125,3659.41162109375,108.89875793457031,57.60479736328125,50.384033203125
69,13372.1904296875,3946.97021484375,3659.410888671875,108.8987274169922,57.60478591918945,50.38402557373047
70,13372.1875,3946.96923828125,3659.40966796875,108.8987274169922,57.60476684570313,50.384010314941406
71,13372.1845703125,3946.967529296875,3659.408935546875,108.89871978759766,57.604759216308594,50.38400268554688
72,13372.1826171875,3946.96630859375,3659.40771484375,108.89871978759766,57.60475540161133,50.383995056152344
73,13372.181640625,3946.965576171875,3659.406982421875,108.8987045288086,57.60474395751953,50.38398361206055
74,13372.1796875,3946.964111328125,3659.40625,108.898681640625,57.60472869873047,50.38397979736328
75,13372.1767578125,3946.96337890625,3659.405517578125,108.898681640625,57.60471725463867,50.38396835327149
76,13372.1748046875,3946.962158203125,3659.40478515625,108.89866638183594,57.60470581054688,50.38396072387695
77,13372.173828125,3946.9609375,3659.404296875,108.89866638183594,57.604698181152344,50.38395309448242
78,13372.171875,3946.960205078125,3659.40380859375,108.8986587524414,57.60468673706055,50.383949279785156
79,13372.1689453125,3946.95947265625,3659.403076171875,108.8986587524414,57.60468292236328,50.38393783569336
80,13372.1689453125,3946.957763671875,3659.40234375,108.8986358642578,57.60466766357422,50.3839340209961
81,13372.166015625,3946.95703125,3659.401611328125,108.8986358642578,57.60466384887695,50.3839225769043
82,13372.1640625,3946.956298828125,3659.401123046875,108.8986358642578,57.60465621948242,50.38391876220703
83,13372.162109375,3946.955810546875,3659.400390625,108.89862060546876,57.604652404785156,50.3839111328125
84,13372.162109375,3946.954345703125,3659.39990234375,108.89862060546876,57.6046371459961,50.38390731811523
85,13372.1591796875,3946.953857421875,3659.399169921875,108.89860534667969,57.60463333129883,50.38390350341797
86,13372.1591796875,3946.953125,3659.3984375,108.89860534667969,57.6046257019043,50.38389205932617
87,13372.158203125,3946.952392578125,3659.3984375,108.89859771728516,57.60462188720703,50.3838882446289
88,13372.15625,3946.95166015625,3659.397705078125,108.8985824584961,57.6046142578125,50.3838882446289
89,13372.154296875,3946.950439453125,3659.39697265625,108.8985824584961,57.60460662841797,50.38387680053711
90,13372.1533203125,3946.949951171875,3659.39697265625,108.8985824584961,57.6046028137207,50.383872985839844
91,13372.1533203125,3946.94970703125,3659.396484375,108.89857482910156,57.60459518432617,50.383872985839844
92,13372.1513671875,3946.948486328125,3659.395751953125,108.89857482910156,57.6045913696289,50.38386535644531
93,13372.150390625,3946.947998046875,3659.395263671875,108.8985595703125,57.60458374023438,50.38386154174805
94,13372.1484375,3946.947265625,3659.395263671875,108.8985595703125,57.604576110839844,50.38385772705078
95,13372.1484375,3946.94677734375,3659.39453125,108.8985595703125,57.60457229614258,50.38385772705078
96,13372.146484375,3946.946533203125,3659.39404296875,108.8985595703125,57.60456466674805,50.38384628295898
97,13372.1455078125,3946.94580078125,3659.39404296875,108.89854431152344,57.60456466674805,50.38384628295898
98,13372.1455078125,3946.9453125,3659.393310546875,108.8985366821289,57.60456085205078,50.38384246826172
99,13372.1435546875,3946.944580078125,3659.39306640625,108.8985366821289,57.60455322265625,50.38383865356445
