,TRAIN_MSE,DEV_MSE,TEST_MSE,TRAIN_MAE,DEV_MAE,TEST_MAE
132,9.053932189941406,11.54455852508545,53.88349533081055,2.558742046356201,3.0271174907684326,6.974373817443848
133,9.053892135620117,11.517603874206545,53.907310485839844,2.5586800575256348,3.023475646972656,6.975892543792725
134,9.053979873657227,11.65273380279541,53.84691619873047,2.559736967086792,3.041395902633667,6.972053527832031
135,9.062024116516113,10.41979694366455,54.18051147460938,2.5895471572875977,2.8684065341949463,6.993166446685791
136,9.059861183166504,12.14246940612793,53.507713317871094,2.5846617221832275,3.102935075759888,6.950314521789551
137,9.0538969039917,11.195899963378906,53.871971130371094,2.559666156768799,2.9796242713928223,6.9736328125
138,9.053820610046387,11.279449462890625,53.8693733215332,2.5581583976745605,2.991038084030152,6.9734740257263175
139,9.053889274597168,11.446176528930664,53.81343460083008,2.5588741302490234,3.013807773590088,6.969917297363281
140,9.053726196289062,11.379411697387695,53.852882385253906,2.558013677597046,3.0050048828125,6.972434997558594
141,9.053718566894533,11.473871231079102,53.85407257080078,2.5579159259796143,3.0177490711212163,6.972519874572754
142,9.053869247436523,11.570963859558105,53.82099533081055,2.5598196983337402,3.0306344032287598,6.970416069030763
143,9.053976058959961,11.195859909057617,53.9546890258789,2.5627148151397705,2.9802372455596924,6.9789185523986825
144,9.053594589233398,11.412237167358398,53.883155822753906,2.5589375495910645,3.0097010135650635,6.974379539489746
145,9.053584098815918,11.384546279907227,53.91828155517578,2.5595593452453613,3.0059654712677,6.9766173362731925
146,9.054953575134276,11.826411247253418,53.75297164916992,2.566755771636963,3.0637333393096924,6.96609354019165
147,9.053839683532717,11.620648384094238,53.8091926574707,2.5603137016296387,3.0372419357299805,6.9696807861328125
148,9.05359172821045,11.29881191253662,53.93657684326172,2.560464382171631,2.9942841529846187,6.977785587310791
149,9.053499221801758,11.433916091918945,53.890480041503906,2.557292461395264,3.012404441833496,6.974860191345215
150,9.05353832244873,11.264303207397461,53.9704704284668,2.560321092605591,2.989408016204834,6.979941368103027
151,9.054122924804688,11.60344696044922,53.8432731628418,2.561838150024414,3.034635066986084,6.97186279296875
152,9.05361557006836,11.128606796264648,53.99995803833008,2.561269998550415,2.970503568649292,6.981810569763184
153,9.054081916809082,11.600828170776367,53.84558868408203,2.5617446899414062,3.0343353748321533,6.972016334533691
154,9.054814338684082,11.766507148742676,53.773658752441406,2.5669033527374268,3.056044816970825,6.967434883117676
155,9.053426742553713,11.430511474609375,53.8909797668457,2.557512760162353,3.0119388103485107,6.974906921386719
156,9.053682327270508,11.13648796081543,54.00933837890625,2.5623221397399902,2.9719204902648926,6.982417106628418
157,9.053448677062988,11.410052299499512,53.93769454956055,2.558024883270264,3.0089626312255864,6.9778809547424325
158,9.053812026977539,11.060369491577148,54.051841735839844,2.563218355178833,2.9612128734588623,6.9851112365722665
159,9.053762435913086,11.657620429992676,53.85115432739258,2.5608179569244385,3.042194366455078,6.972391605377197
160,9.053396224975586,11.306591987609865,53.968650817871094,2.5607893466949463,2.9957003593444824,6.9798545837402335
161,9.053826332092283,11.78486156463623,53.798744201660156,2.561513662338257,3.0590031147003174,6.96906042098999
162,9.053326606750488,11.403604507446287,53.93767547607422,2.5604088306427,3.0090689659118652,6.977897644042969
